User,Target,Source
 WESTROCK\4518ediservice ,001ITAPPS, 10.15.2.153
 WESTROCK\4518ediservice ,001ITAPPS, 172.30.25.111
 WESTROCK\4518ediservice ,001ITAPPS, 10.125.30.208
 WESTROCK\4518ediservice ,001ITAPPS, 10.15.2.64
 WESTROCK\4518ediservice ,001ITAPPS, 10.15.2.114
 WESTROCK\4518ediservice ,001ITAPPS, 10.15.2.102
 WESTROCK\4518ediservice ,001ITAPPS, 172.30.137.37
 WESTROCK\4518ediservice ,001ITAPPS, LOCAL
 WESTROCK\svcSQL-4518 ,001SQL, null
 WESTROCK\svcgsbgsystem ,4282-AESERVER01, 172.19.139.161
 WESTROCK\svcGSBGSYSTEM ,4282-AESERVER01, 192.168.38.183
 WESTROCK\svcGSBGSYSTEM ,4282-AESERVER01, 192.168.38.157
 WESTROCK\svcGSBGSYSTEM ,4282-AESERVER01, 172.19.160.7
 WESTROCK\svcgsbgsystem ,4282-AESERVER01, 172.23.59.176
 WESTROCK\svcgsbgsystem ,4282-AESERVER01, 172.19.174.59
 WESTROCK\svcGSBGSYSTEM ,4282-AESERVER01, 172.19.130.106
 WESTROCK\svcGSBGSYSTEM ,4282-AESERVER01, 192.168.38.159
 WESTROCK\svcgsbgsystem ,4282-AESERVER01, 172.19.170.49
 WESTROCK\svcGSBGSYSTEM ,4282-AESERVER01, 172.19.131.234
 WESTROCK\svcGSBGSYSTEM ,4282-AESERVER01, 172.19.161.250
 WESTROCK\svcGSBGSYSTEM ,4282-AESERVER01, 172.19.170.31
 WESTROCK\svcGSBGSYSTEM ,4282-AESERVER01, 172.19.162.132
 WESTROCK\svcGSBGSYSTEM ,4282-AESERVER01, 172.19.133.96
 WESTROCK\svcGSBGSYSTEM ,4282-AESERVER01, 172.19.169.187
 WESTROCK\svcGSBGSYSTEM ,4282-AESERVER01, 172.19.172.13
 WESTROCK\svcGSBGSYSTEM ,4282-AESERVER01, 172.19.133.227
 WESTROCK\svcgsbgsystem ,4282-AESERVER01, 172.19.174.114
 WESTROCK\svcgsbgsystem ,4282-AESERVER01, 172.19.170.204
 WESTROCK\svcgsbgsystem ,4282-AESERVER01, 172.19.128.74
 WESTROCK\svcgsbgsystem ,4282-AESERVER01, 172.19.142.208
 WESTROCK\svcGSBGSYSTEM ,4282-AESERVER01, 172.19.164.139
 WESTROCK\svcGSBGSYSTEM ,4282-AESERVER01, 172.19.133.243
 WESTROCK\svcGSBGSYSTEM ,4282-AESERVER01, 172.19.169.248
 WESTROCK\svcgsbgsystem ,4282-AESERVER01, 172.19.129.53
 WESTROCK\svcGSBGSYSTEM ,4282-AESERVER01, 192.168.38.132
 WESTROCK\svcGSBGSYSTEM ,4282-AESERVER01, 192.168.38.148
 WESTROCK\svcgsbgsystem ,4282-AESERVER01, 172.19.167.220
 WESTROCK\svcGSBGSYSTEM ,4282-AESERVER01, 192.168.38.134
 WESTROCK\svcgsbgsystem ,4282-AESERVER01, 172.19.162.31
 WESTROCK\svcGSBGSYSTEM ,4282-AESERVER01, 172.19.163.230
 WESTROCK\svcGSBGSYSTEM ,4282-IESERVER01, 192.168.38.158
 WESTROCK\svcGSBGSYSTEM ,4282-IESERVER01, 192.168.38.197
 WESTROCK\svcGSBGSYSTEM ,4282-IESERVER01, 172.19.132.100
 WESTROCK\svcGSBGSYSTEM ,4282-IESERVER01, 172.19.143.221
 WESTROCK\svcGSBGSYSTEM ,4282-IESERVER01, 172.19.163.169
 WESTROCK\svcgsbgsystem ,4282-IESERVER01, LOCAL
 WESTROCK\svcGSBGSYSTEM ,4282-IESERVER01, 172.19.132.101
 WESTROCK\svcGSBGSYSTEM ,4282-IESERVER01, 192.168.38.157
 WESTROCK\svcgsbgsystem ,4282-IESERVER01, 10.248.151.122
 WESTROCK\svcgsbgsystem ,4282-IESERVER01, 172.19.170.21
 WESTROCK\svcgsbgsystem ,4282-IESERVER01, 172.19.133.238
 WESTROCK\svcGSBGSYSTEM ,4282-IESERVER01, 192.168.38.159
 WESTROCK\svcGSBGSYSTEM ,4282-IESERVER01, 172.19.131.234
 WESTROCK\svcGSBGSYSTEM ,4282-IESERVER01, 172.19.170.31
 WESTROCK\svcGSBGSYSTEM ,4282-IESERVER01, 172.19.162.132
 WESTROCK\svcGSBGSYSTEM ,4282-IESERVER01, 172.19.138.5
 WESTROCK\svcGSBGSYSTEM ,4282-IESERVER01, 172.19.169.187
 WESTROCK\svcGSBGSYSTEM ,4282-IESERVER01, 172.19.172.13
 WESTROCK\svcgsbgsystem ,4282-IESERVER01, 172.23.59.176
 WESTROCK\svcgsbgsystem ,4282-IESERVER01, 172.19.129.45
 WESTROCK\svcGSBGSYSTEM ,4282-IESERVER01, 172.19.133.243
 WESTROCK\svcGSBGSYSTEM ,4282-IESERVER01, 172.19.169.248
 WESTROCK\svcGSBGSYSTEM ,4282-IESERVER01, 172.19.169.38
 WESTROCK\svcGSBGSYSTEM ,4282-IESERVER01, 172.19.141.111
 WESTROCK\svcGSBGSYSTEM ,4282-IESERVER01, 10.248.65.42
 WESTROCK\svcGSBGSYSTEM ,4282-IESERVER01, 172.19.164.200
 WESTROCK\svcGSBGSYSTEM ,4282-IESERVER01, 192.168.38.137
 WESTROCK\svcGSBGSYSTEM ,4282-IESERVER01, 172.19.165.156
 WESTROCK\svcGSBGSYSTEM ,4282-IESERVER01, 172.19.141.224
 WESTROCK\svcGSBGSYSTEM ,4282-IESERVER01, 172.19.160.186
 WESTROCK\svcGSBGSYSTEM ,4282-IESERVER01, 172.23.59.189
 WESTROCK\svcGSBGSYSTEM ,4282-IESERVER01, 172.19.164.18
 WESTROCK\svcGSBGSYSTEM ,4282-IESERVER01, 172.19.168.99
 WESTROCK\svcGSBGSYSTEM ,4282-IESERVER01, 192.168.38.132
 WESTROCK\svcGSBGSYSTEM ,4282-IESERVER01, 172.19.174.190
 WESTROCK\svcGSBGSYSTEM ,4282-IESERVER01, 172.19.160.13
 WESTROCK\svcGSBGSYSTEM ,4282-IESERVER01, 172.19.174.174
 WESTROCK\svcGSBGSYSTEM ,4282-IESERVER01, 172.19.131.121
 WESTROCK\svcGSBGSYSTEM ,4282-IESERVER01, 172.19.172.116
 WESTROCK\svcGSBGSYSTEM ,4282-IESERVER01, 172.19.163.238
 WESTROCK\svcGSBGSYSTEM ,4282-IESERVER01, 172.19.175.132
 WESTROCK\svcGSBGSYSTEM ,4282-IESERVER01, 172.19.166.107
 WESTROCK\svcGSBGSYSTEM ,4282-IESERVER01, 192.168.38.155
 WESTROCK\svcGSBGSYSTEM ,4282-IESERVER01, 172.19.139.188
 WESTROCK\svc4336reports ,APWRK6ZLDUOHYVM, LOCAL
 WESTROCK\svc4336reports ,APWRK6ZLDUOHYVM, 172.19.167.225
 WESTROCK\svc4336reports ,APWRK6ZLDUOHYVM, 192.168.195.94
 WESTROCK\SVCRader ,APWRKQMVKRRVQ2L, LOCAL
 WESTROCK\svcrader ,APWRKQMVKRRVQ2L, LOCAL
 GROUP\s1-arg-TangoSvc ,AR-BER1-M018, 172.26.84.184
 GROUP\s1-arg-tangosvc ,AR-BER1-M018, 172.26.84.181
 GROUP\s1-arg-tangosvc ,AR-BER1-M018, 192.168.2.58
 GROUP\s1-arg-ber1-pctopsvc ,AR-BER1-M027, 192.168.5.148
 GROUP\s1-arg-ber1-pctopsvc ,AR-BER1-M027, 172.26.84.184
 GROUP\s1-arg-ber1-pctopsvc ,AR-BER1-M027, 172.26.84.183
 GROUP\s1-arg-ber1-pctopsvc ,AR-BER1-M027, 192.168.5.154
 GROUP\s1-arg-ber1-pctopsvc ,AR-BER1-M027, 172.26.84.181
 GROUP\s1-arg-ber1-pctopsvc ,AR-BER1-M027, 172.26.84.180
